iter	RMSE
0	20.04060915
1	19.59388958
2	19.19325435
3	18.84960241
4	18.56004094
5	18.2928479
6	18.07543684
7	17.87816754
8	17.70859123
9	17.56199093
10	17.42922124
11	17.32052739
12	17.22347526
13	17.13501619
14	17.05800422
15	16.99008233
16	16.93234941
17	16.88115316
18	16.83484477
19	16.79725975
20	16.76077853
21	16.73313323
22	16.70524125
23	16.67931164
24	16.65746387
25	16.63391396
26	16.61479861
27	16.5990523
28	16.58490082
29	16.57048872
30	16.55992143
31	16.5461386
32	16.53274041
33	16.52201108
34	16.51319814
35	16.50509337
36	16.49653542
37	16.48928077
38	16.48337454
39	16.4761413
40	16.47094803
41	16.46376234
42	16.45716853
43	16.4501088
44	16.4418412
45	16.43320381
46	16.42815564
47	16.42037395
48	16.41515926
49	16.40831656
50	16.40219204
51	16.39599092
52	16.38898997
53	16.3850466
54	16.37950072
55	16.37709593
56	16.3721186
57	16.3675476
58	16.36204336
59	16.35789171
60	16.35429031
61	16.3508981
62	16.34797376
63	16.34455607
64	16.34233445
65	16.33386396
66	16.33061948
67	16.3271248
68	16.32248012
69	16.31984536
70	16.3151467
71	16.311187
72	16.30768024
73	16.3016633
74	16.29859529
75	16.29295947
76	16.28858777
77	16.28466289
78	16.281416
79	16.27878852
80	16.2763196
81	16.27160889
82	16.26973714
83	16.26566194
84	16.26394459
85	16.26013579
86	16.25703738
87	16.25564983
88	16.25022298
89	16.24579791
90	16.24173662
91	16.24083514
92	16.23771172
93	16.23460983
94	16.23128851
95	16.22986199
96	16.22737347
97	16.22526793
98	16.22155297
99	16.21666052
100	16.21358525
101	16.21057107
102	16.20511652
103	16.2004678
104	16.19742055
105	16.19371985
106	16.18977094
107	16.18707149
108	16.18431492
109	16.18030172
110	16.17565701
111	16.1712591
112	16.1671257
113	16.16507879
114	16.16224495
115	16.15970467
116	16.15770996
117	16.15582561
118	16.15361156
119	16.14977
120	16.14445923
121	16.14199984
122	16.13884411
123	16.13569657
124	16.13387942
125	16.13096436
126	16.12856155
127	16.1273599
128	16.12488149
129	16.12353396
130	16.11982574
131	16.11753156
132	16.11597405
133	16.11216418
134	16.10964852
135	16.10767396
136	16.10226522
137	16.09787056
138	16.09443742
139	16.08968055
140	16.08707725
141	16.08445449
142	16.08039803
143	16.0724317
144	16.06989319
145	16.0670428
146	16.06273475
147	16.05864775
148	16.05471071
149	16.05141306
150	16.04901585
151	16.04501803
152	16.03919884
153	16.03516939
154	16.03239633
155	16.02904552
156	16.02495285
157	16.02332999
158	16.02034205
159	16.01665723
160	16.01243381
161	16.00508727
162	16.00032487
163	15.99645458
164	15.99424016
165	15.99126526
166	15.98574028
167	15.98218348
168	15.97915201
169	15.97632878
170	15.97152981
171	15.96828697
172	15.96609995
173	15.96400061
174	15.9602422
175	15.95669182
176	15.95312088
177	15.94565662
178	15.94179907
179	15.93805001
180	15.93617091
181	15.93248705
182	15.92869934
183	15.92516096
184	15.92121248
185	15.91899428
186	15.91578499
187	15.91212899
188	15.90943746
189	15.90719329
190	15.90369775
191	15.90141037
192	15.89905167
193	15.89663427
194	15.89355767
195	15.89141304
196	15.88786656
197	15.88458652
198	15.88253823
199	15.87900225
200	15.87585803
201	15.87279396
202	15.86656644
203	15.864837
204	15.86204304
205	15.85947111
206	15.85484967
207	15.85335454
208	15.84977923
209	15.84671278
210	15.84340751
211	15.83895003
212	15.8357606
213	15.83129337
214	15.8291156
215	15.82617328
216	15.82220022
217	15.81962169
218	15.81602179
219	15.81355768
220	15.80976842
221	15.80703226
222	15.80451892
223	15.80149732
224	15.79582843
225	15.79145569
226	15.78999299
227	15.78652136
228	15.78420534
229	15.78043781
230	15.77768086
231	15.77615524
232	15.77275727
233	15.7693088
234	15.76743039
235	15.76563621
236	15.76210351
237	15.76008612
238	15.75741867
239	15.755163
240	15.75190818
241	15.7490093
242	15.74613876
243	15.74304749
244	15.74002325
245	15.73736442
246	15.73466511
247	15.7313132
248	15.72809918
249	15.72464503
250	15.72292688
251	15.71999127
252	15.71712038
253	15.71453983
254	15.7114175
255	15.70736637
256	15.70548198
257	15.70339018
258	15.70089177
259	15.69798523
260	15.69355291
261	15.6913323
262	15.68776453
263	15.68477091
264	15.68297675
265	15.6800373
266	15.67805297
267	15.67469882
268	15.67325535
269	15.67126009
270	15.66846107
271	15.66676467
272	15.66462653
273	15.66262216
274	15.6589294
275	15.65638655
276	15.65308881
277	15.65029762
278	15.64746061
279	15.64476413
280	15.64236624
281	15.63959391
282	15.63741479
283	15.63487955
284	15.63207392
285	15.62953769
286	15.62693736
287	15.62322455
288	15.62140345
289	15.62064763
290	15.61911073
291	15.61662453
292	15.61352
293	15.61110768
294	15.60811965
295	15.6060453
296	15.60353217
297	15.60208208
298	15.60089147
299	15.59971392
300	15.5971376
301	15.59417061
302	15.5926638
303	15.58995912
304	15.58696947
305	15.58448725
306	15.58192851
307	15.5802699
308	15.57823142
309	15.57594769
310	15.57356558
311	15.57189692
312	15.56854095
313	15.56652575
314	15.56376591
315	15.56143892
316	15.55827448
317	15.55564743
318	15.5536128
319	15.55091848
320	15.54793491
321	15.54589248
322	15.54332776
323	15.5413064
324	15.53954659
325	15.53799744
326	15.53559679
327	15.5324406
328	15.53034297
329	15.52895891
330	15.52544157
331	15.52263801
332	15.52073658
333	15.51834189
334	15.51649771
335	15.51440161
336	15.51230714
337	15.51117188
338	15.50985932
339	15.50654129
340	15.50443015
341	15.50195773
342	15.49977916
343	15.49897268
344	15.49701886
345	15.49451579
346	15.49325139
347	15.49139655
348	15.48869975
349	15.48667208
350	15.48459232
351	15.48234969
352	15.48121711
353	15.48008418
354	15.47771896
355	15.47539094
356	15.47089552
357	15.46909413
358	15.46735097
359	15.4647012
360	15.46273572
361	15.46114704
362	15.45915104
363	15.45781243
364	15.45599877
365	15.45470923
366	15.45173705
367	15.44931736
368	15.44772747
369	15.44531183
370	15.44269636
371	15.44052239
372	15.4377354
373	15.43570712
374	15.43346239
375	15.43195861
376	15.4297044
377	15.42769468
378	15.42481044
379	15.42427039
380	15.42129498
381	15.41971794
382	15.41689293
383	15.41539463
384	15.41435016
385	15.41271536
386	15.41070473
387	15.40884881
388	15.4076294
389	15.40445361
390	15.4015114
391	15.40002802
392	15.39754087
393	15.39501818
394	15.3928752
395	15.3902668
396	15.38914613
397	15.38674529
398	15.38478536
399	15.38176464
400	15.37937232
401	15.37719597
402	15.37542487
403	15.37336662
404	15.37201874
405	15.37004729
406	15.36819098
407	15.36669791
408	15.3647926
409	15.36315649
410	15.36143754
411	15.35824463
412	15.35668149
413	15.3540598
414	15.35165066
415	15.34898274
416	15.34719485
417	15.34538302
418	15.34380232
419	15.3420148
420	15.33925631
421	15.33762506
422	15.33523724
423	15.33341304
424	15.33100237
425	15.32924849
426	15.32720976
