iter	Passed	Remaining
0	18	18320
1	23	11700
2	28	9605
3	33	8400
4	38	7695
5	43	7270
6	48	6884
7	53	6596
8	57	6368
9	62	6165
10	66	6010
11	71	5918
12	76	5788
13	80	5695
14	85	5629
15	90	5593
16	101	5847
17	106	5788
18	110	5689
19	114	5594
20	117	5489
21	121	5419
22	126	5367
23	131	5331
24	135	5281
25	139	5232
26	144	5208
27	148	5170
28	153	5137
29	157	5103
30	162	5071
31	167	5057
32	171	5022
33	175	4985
34	179	4949
35	184	4940
36	189	4934
37	193	4903
38	198	4894
39	203	4886
40	208	4880
41	213	4863
42	217	4849
43	222	4826
44	226	4809
45	231	4793
46	235	4779
47	239	4754
48	244	4745
49	249	4732
50	253	4713
51	257	4703
52	262	4688
53	266	4675
54	270	4655
55	274	4633
56	279	4616
57	284	4614
58	288	4598
59	292	4584
60	296	4565
61	301	4562
62	305	4543
63	309	4526
64	314	4517
65	318	4506
66	322	4495
67	327	4483
68	331	4477
69	335	4463
70	340	4453
71	344	4445
72	349	4432
73	354	4433
74	359	4432
75	364	4427
76	368	4417
77	372	4404
78	376	4393
79	381	4383
80	385	4373
81	390	4366
82	394	4354
83	399	4351
84	403	4344
85	408	4337
86	412	4333
87	417	4323
88	421	4316
89	426	4310
90	430	4303
91	435	4293
92	439	4283
93	443	4277
94	448	4274
95	453	4266
96	457	4257
97	461	4251
98	465	4240
99	470	4235
100	475	4232
101	480	4226
102	484	4218
103	488	4209
104	493	4203
105	498	4204
106	502	4194
107	506	4184
108	510	4174
109	515	4169
110	520	4164
111	525	4164
112	530	4164
113	534	4155
114	539	4148
115	543	4145
116	548	4137
117	552	4130
118	556	4121
119	561	4118
120	566	4112
121	570	4107
122	575	4102
123	580	4098
124	584	4094
125	589	4088
126	594	4083
127	598	4077
128	603	4072
129	607	4063
130	611	4056
131	616	4052
132	620	4047
133	624	4037
134	629	4034
135	633	4027
136	638	4022
137	643	4019
138	647	4013
139	652	4009
140	657	4003
141	661	3996
142	665	3990
143	670	3983
144	674	3975
145	678	3968
146	683	3964
147	687	3959
148	692	3952
149	696	3949
150	701	3946
151	706	3940
152	710	3934
153	715	3929
154	719	3923
155	724	3918
156	729	3914
157	733	3906
158	737	3898
159	741	3895
160	746	3890
161	750	3882
162	754	3876
163	759	3873
164	764	3869
165	768	3862
166	772	3854
167	777	3849
168	781	3841
169	785	3835
170	790	3834
171	795	3830
172	799	3824
173	804	3816
174	808	3812
175	812	3805
176	817	3801
177	821	3795
178	826	3789
179	830	3785
180	835	3779
181	840	3775
182	844	3770
183	848	3763
184	853	3757
185	857	3752
186	861	3747
187	866	3742
188	871	3737
189	875	3734
190	880	3728
191	884	3723
192	889	3720
193	894	3717
194	899	3712
195	903	3705
196	907	3699
197	912	3696
198	916	3688
199	920	3683
200	925	3678
201	929	3673
202	934	3668
203	938	3663
204	943	3659
205	947	3652
206	951	3646
207	956	3641
208	960	3636
209	965	3631
210	969	3624
211	973	3620
212	978	3615
213	982	3609
214	988	3607
215	993	3606
216	999	3606
217	1006	3608
218	1010	3603
219	1015	3601
220	1021	3600
221	1026	3597
222	1031	3595
223	1037	3592
224	1042	3590
225	1048	3589
226	1053	3585
227	1058	3582
228	1063	3580
229	1068	3578
230	1073	3573
231	1082	3584
232	1094	3601
233	1158	3793
234	1170	3811
235	1175	3804
236	1193	3841
237	1201	3845
238	1209	3849
239	1215	3847
240	1219	3842
241	1224	3834
242	1229	3828
243	1233	3821
244	1237	3814
245	1242	3808
246	1246	3800
247	1251	3793
248	1255	3787
249	1260	3781
250	1265	3775
251	1269	3769
252	1274	3762
253	1279	3756
254	1284	3751
255	1288	3745
256	1293	3739
257	1298	3734
258	1303	3729
259	1307	3722
260	1312	3716
261	1317	3712
262	1322	3706
263	1327	3700
264	1331	3693
265	1336	3688
266	1340	3681
267	1345	3675
268	1349	3667
269	1354	3661
270	1358	3655
271	1363	3649
272	1368	3643
273	1371	3635
274	1376	3629
275	1381	3624
276	1386	3617
277	1390	3611
278	1394	3604
279	1399	3598
280	1404	3593
281	1409	3587
282	1414	3583
283	1418	3576
284	1422	3569
285	1427	3563
286	1431	3556
287	1436	3550
288	1440	3543
289	1444	3537
290	1449	3530
291	1453	3523
292	1457	3516
293	1462	3510
294	1466	3504
295	1470	3497
296	1475	3491
297	1479	3485
298	1483	3478
299	1488	3472
300	1492	3466
301	1498	3462
302	1502	3456
303	1506	3449
304	1511	3443
305	1515	3437
306	1520	3431
307	1524	3425
308	1529	3419
309	1533	3413
310	1537	3406
311	1542	3400
312	1547	3395
313	1551	3389
314	1555	3382
315	1560	3377
316	1564	3371
317	1569	3366
318	1574	3360
319	1579	3355
320	1584	3351
321	1588	3344
322	1592	3337
323	1597	3332
324	1601	3326
325	1606	3320
326	1610	3315
327	1615	3309
328	1619	3303
329	1623	3297
330	1628	3292
331	1633	3286
332	1637	3280
333	1642	3276
334	1647	3270
335	1652	3264
336	1656	3259
337	1661	3254
338	1665	3248
339	1670	3241
340	1674	3235
341	1678	3229
342	1682	3223
343	1686	3216
344	1691	3210
345	1696	3206
346	1700	3200
347	1705	3194
348	1709	3188
349	1713	3181
350	1717	3176
351	1722	3170
352	1726	3165
353	1730	3158
354	1735	3153
355	1739	3147
356	1744	3142
357	1748	3135
358	1752	3129
359	1757	3124
360	1762	3119
361	1766	3113
362	1770	3106
363	1775	3101
364	1779	3096
365	1784	3091
366	1789	3086
367	1793	3080
368	1798	3074
369	1802	3069
370	1807	3064
371	1812	3059
372	1816	3053
373	1820	3047
374	1825	3041
375	1829	3035
376	1833	3030
377	1838	3026
378	1843	3020
379	1847	3015
380	1852	3009
381	1856	3004
382	1860	2997
383	1865	2991
384	1869	2986
385	1873	2980
386	1878	2975
387	1883	2970
388	1887	2964
389	1892	2959
390	1896	2954
391	1900	2948
392	1906	2943
393	1910	2939
394	1915	2933
395	1919	2928
396	1924	2922
397	1928	2917
398	1932	2911
399	1938	2907
400	1942	2902
401	1947	2896
402	1951	2891
403	1956	2885
404	1960	2880
405	1964	2874
406	1969	2870
407	1974	2864
408	1978	2859
409	1982	2853
410	1987	2848
411	1991	2842
412	1996	2837
413	2000	2831
414	2006	2827
415	2010	2822
416	2015	2817
417	2019	2812
418	2024	2806
419	2028	2801
420	2033	2796
421	2037	2791
422	2042	2785
423	2046	2780
424	2050	2774
425	2055	2769
426	2059	2764
427	2064	2758
428	2069	2754
429	2073	2749
430	2078	2743
431	2083	2739
432	2087	2733
433	2091	2728
434	2095	2722
435	2100	2716
436	2105	2712
437	2109	2707
438	2114	2701
439	2118	2696
440	2122	2690
441	2126	2685
442	2131	2679
443	2135	2674
444	2140	2669
445	2144	2663
446	2148	2657
447	2153	2653
448	2157	2647
449	2162	2643
450	2166	2637
451	2171	2632
452	2175	2626
453	2179	2621
454	2184	2616
455	2189	2611
456	2193	2606
457	2197	2600
458	2202	2596
459	2206	2590
460	2211	2585
461	2216	2580
462	2220	2575
463	2225	2570
464	2230	2565
465	2234	2560
466	2238	2554
467	2242	2549
468	2246	2543
469	2251	2538
470	2255	2533
471	2259	2528
472	2264	2523
473	2269	2518
474	2274	2513
475	2278	2508
476	2283	2503
477	2288	2498
478	2292	2493
479	2297	2488
480	2302	2484
481	2306	2478
482	2311	2473
483	2316	2469
484	2319	2463
485	2324	2458
486	2328	2452
487	2333	2448
488	2338	2443
489	2342	2437
490	2346	2432
491	2350	2427
492	2355	2422
493	2359	2416
494	2364	2412
495	2368	2406
496	2372	2401
497	2377	2396
498	2397	2407
499	2402	2402
500	2407	2397
501	2412	2393
502	2416	2387
503	2420	2382
504	2425	2377
505	2429	2372
506	2434	2367
507	2438	2361
508	2442	2356
509	2447	2351
510	2452	2346
511	2456	2341
512	2460	2336
513	2465	2331
514	2469	2325
515	2474	2320
516	2478	2315
517	2483	2310
518	2487	2305
519	2491	2299
520	2497	2295
521	2500	2290
522	2505	2284
523	2510	2280
524	2514	2275
525	2519	2270
526	2524	2265
527	2529	2261
528	2533	2256
529	2537	2250
530	2542	2245
531	2546	2240
532	2550	2235
533	2555	2230
534	2561	2226
535	2566	2221
536	2571	2216
537	2575	2211
538	2579	2206
539	2584	2201
540	2588	2196
541	2593	2191
542	2598	2187
543	2603	2182
544	2608	2177
545	2612	2172
546	2616	2167
547	2620	2161
548	2625	2156
549	2629	2151
550	2633	2146
551	2638	2140
552	2642	2136
553	2648	2131
554	2652	2126
555	2656	2121
556	2661	2116
557	2666	2112
558	2670	2106
559	2675	2101
560	2679	2096
561	2683	2091
562	2688	2086
563	2692	2081
564	2697	2076
565	2701	2071
566	2706	2066
567	2710	2061
568	2714	2056
569	2719	2051
570	2723	2046
571	2728	2041
572	2733	2036
573	2737	2031
574	2742	2026
575	2746	2022
576	2751	2016
577	2755	2011
578	2760	2007
579	2764	2002
580	2769	1996
581	2773	1991
582	2778	1987
583	2782	1982
584	2787	1977
585	2792	1972
586	2797	1968
587	2801	1963
588	2806	1958
589	2810	1953
590	2815	1948
591	2819	1943
592	2824	1938
593	2828	1933
594	2832	1927
595	2836	1922
596	2841	1918
597	2845	1912
598	2850	1908
599	2855	1903
600	2859	1898
601	2864	1893
602	2868	1888
603	2873	1884
604	2877	1879
605	2882	1873
606	2886	1868
607	2891	1864
608	2895	1859
609	2899	1853
610	2904	1848
611	2908	1844
612	2913	1839
613	2917	1834
614	2922	1829
615	2927	1824
616	2931	1820
617	2936	1814
618	2940	1810
619	2945	1805
620	2949	1799
621	2953	1794
622	2958	1790
623	2962	1784
624	2966	1779
625	2971	1775
626	2975	1770
627	2979	1765
628	2984	1760
629	2989	1755
630	2993	1750
631	2998	1745
632	3003	1741
633	3008	1736
634	3012	1731
635	3017	1727
636	3022	1722
637	3026	1717
638	3031	1712
639	3036	1707
640	3040	1702
641	3044	1697
642	3048	1692
643	3053	1687
644	3058	1683
645	3062	1678
646	3066	1673
647	3071	1668
648	3076	1663
649	3079	1658
650	3085	1653
651	3089	1649
652	3093	1644
653	3098	1639
654	3103	1634
655	3108	1629
656	3113	1625
657	3117	1620
658	3121	1615
659	3125	1610
660	3130	1605
661	3135	1600
662	3140	1596
663	3144	1591
664	3148	1586
665	3153	1581
666	3157	1576
667	3161	1571
668	3166	1566
669	3171	1562
670	3175	1557
671	3180	1552
672	3185	1547
673	3189	1542
674	3194	1538
675	3199	1533
676	3203	1528
677	3208	1523
678	3212	1518
679	3217	1513
680	3221	1508
681	3226	1504
682	3230	1499
683	3234	1494
684	3239	1489
685	3243	1484
686	3248	1480
687	3253	1475
688	3257	1470
689	3261	1465
690	3266	1460
691	3270	1455
692	3275	1451
693	3280	1446
694	3284	1441
695	3289	1436
696	3293	1431
697	3298	1427
698	3303	1422
699	3308	1417
700	3313	1413
701	3321	1410
702	3328	1406
703	3341	1404
704	3353	1403
705	3357	1398
706	3362	1393
707	3367	1388
708	3372	1384
709	3377	1379
710	3382	1375
711	3388	1370
712	3391	1365
713	3397	1360
714	3402	1356
715	3406	1351
716	3411	1346
717	3417	1342
718	3421	1337
719	3426	1332
720	3431	1327
721	3435	1322
722	3440	1318
723	3445	1313
724	3449	1308
725	3454	1303
726	3458	1298
727	3463	1293
728	3467	1288
729	3471	1284
730	3476	1279
731	3481	1274
732	3486	1269
733	3490	1264
734	3495	1260
735	3499	1255
736	3504	1250
737	3509	1245
738	3513	1240
739	3517	1235
740	3522	1231
741	3527	1226
742	3531	1221
743	3535	1216
744	3540	1211
745	3545	1207
746	3549	1202
747	3554	1197
748	3559	1192
749	3563	1187
750	3568	1183
751	3572	1178
752	3577	1173
753	3582	1168
754	3586	1163
755	3590	1158
756	3595	1154
757	3599	1149
758	3603	1144
759	3608	1139
760	3612	1134
761	3617	1129
762	3621	1124
763	3626	1120
764	3630	1115
765	3635	1110
766	3639	1105
767	3644	1100
768	3649	1096
769	3653	1091
770	3658	1086
771	3663	1081
772	3667	1077
773	3672	1072
774	3677	1067
775	3681	1062
776	3686	1058
777	3692	1053
778	3697	1048
779	3701	1043
780	3706	1039
781	3711	1034
782	3715	1029
783	3719	1024
