artist_id,name,popularity
001aJOc7CSQVo3XzoLG4DK,One Way,42
001bpbe3Erwxc1cVfgVuFo,Padre Adriano Zandoná,25
002yVW3Yn595KWy74buQ1k,Charanraj MR,49
003RCo7NufjcwyuXRTWlGM,Solace Her,23
003f4bk13c6Q3gAUXv7dGJ,Wiener Philharmoniker,65
0052sLPmKyG6ou86BEhYjt,La Tremenda Korte,40
005ppBcDhgC9mj7CgRmv1D,Bamba Bakya,40
007FXgr0jLBJxhPJjacXQH,Eric Land,63
008PpLcKUtVXle6JSwkq3I,Emiway Bantai,56
008yUYD9avjHlXXmT47dz9,Taylor Manns,30
009IKtLg2rg2QMbvNtWaoh,Pressure,32
00AFbqxvdDK6T1D6MQZ9c1,GLAY,53
00B9mff8749d1A2LOLH41b,DJ NpcSize,54
00BueEoowSUVGZoCR5yIRL,Tracie Thoms,44
00C6n2psbFm6XWqyPCXJ5v,Ufuk Beydemir,54
00CMSJdbf36zOzKB3z8JrR,Victor Cardenas,53
00DSeUAdyYqUyGFqeySG68,ohGr,25
00DuPiLri3mNomvvM3nZvU,Ling tosite sigure,42
00E0xvoM67oRJk8a5iTyEh,Ondatrópica,37
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,88
00G1NTDAoU7rBpjG4KoYAM,DJ KRUSH,41
00HEKt0f42LmgnoabKX3Ok,Joi Casette,23
00IUMN7pWAU2jYWcdOt5c3,Marco Faraone,32
00J5DWQel4eH9qQnDS6qrn,トライセラトップス,24
00JAfwtx5gNiiqyor88Dr5,Arooj Aftab,43
00Ja3YjvU4DYCHWt6cPs42,Jolyon Petch,43
00LYx5I4Hgi8GMpYVMeLgm,BeatsHoundz,31
00Nnsh2ykMBYnCDsSFGXSY,Earl Klugh,46
00OF0nwYaoBSO3AnPVq3vE,Johnny Stimson,53
00OLN5o0Ba1W6KkjRi5jWd,Dwin,47
00PLVqZ4oaOmbI4lacLUBO,Stiftelsen,48
00PnAePD5EyBOROxnfX68x,Anne Amie,52
00Qvr8kS7sShLLyPW7MEgu,Josh Wagner,11
00TKPo9MxwZ0j4ooveIxWZ,Loote,50
00VRVxKWiqy7BMVNohf8yU,Shake Pepper,29
00VVo7kMLt2mwG0pSdbQZc,Ward Billeisen,10
00WEn86i8SDGAa8sIfahSc,Thorbjørn Harr,30
00XhexlJEXQstHimpZN910,Brytiago,73
